Species	SRA	Percent
Arabidopsis	SRR18440395	70.35
Arabidopsis	ERR1588953	70.30
Arabidopsis	SRR10540998	70.29
Arabidopsis	SRR12687372	70.25
Arabidopsis	ERR1588817	70.24
Arabidopsis	SRR12687364	70.23
Arabidopsis	SRR16569025	70.23
Arabidopsis	SRR18440397	70.17
Arabidopsis	ERR1588808	70.16
Arabidopsis	SRR11972811	70.15
Arabidopsis	ERR1588956	70.12
Arabidopsis	ERR1588883	70.12
Arabidopsis	SRR20440083	70.12
Arabidopsis	ERR1588896	70.11
Arabidopsis	SRR7645278	70.09
Arabidopsis	SRR7851412	70.07
Arabidopsis	SRR5196726	70.04
Arabidopsis	SRR18440386	70.01
Arabidopsis	ERR1588846	70.00
Arabidopsis	SRR18440391	69.96
Arabidopsis	ERR1588945	69.94
Arabidopsis	SRR3383830	69.91
Arabidopsis	SRR7645279	69.85
Arabidopsis	SRR7624735	69.83
Arabidopsis	SRR7645262	69.78
Arabidopsis	SRR18440393	69.78
Arabidopsis	SRR5196728	69.75
Arabidopsis	ERR1589006	69.71
Arabidopsis	ERR1589014	69.71
Arabidopsis	SRR5196725	69.67
Arabidopsis	SRR5831022	69.64
Arabidopsis	SRR12380983	69.63
Arabidopsis	SRR7637042	69.63
Arabidopsis	SRR18440387	69.62
Arabidopsis	SRR5831035	69.61
Arabidopsis	SRR5831036	69.60
Arabidopsis	SRR7851406	69.57
Arabidopsis	SRR5831041	69.56
Arabidopsis	SRR10918544	69.52
Arabidopsis	SRR7624718	69.51
Arabidopsis	ERR1588847	69.46
Arabidopsis	SRR5196727	69.42
Arabidopsis	ERR1588853	69.38
Arabidopsis	SRR5196729	69.35
Arabidopsis	SRR9936815	69.31
Arabidopsis	SRR5831049	69.23
Arabidopsis	SRR5831043	69.20
Arabidopsis	ERR1589005	69.18
Arabidopsis	SRR5196732	69.17
Arabidopsis	SRR5196731	69.14
Arabidopsis	ERR1588814	69.14
Arabidopsis	SRR7624706	69.13
Arabidopsis	SRR5831029	69.13
Arabidopsis	ERR1588875	69.11
Arabidopsis	SRR10919011	68.96
Arabidopsis	SRR7624700	68.81
Arabidopsis	SRR10918579	68.70
Arabidopsis	ERR1588891	68.68
Arabidopsis	SRR17055251	68.66
Arabidopsis	SRR10918552	68.61
Arabidopsis	SRR5196730	68.55
Arabidopsis	SRR10919006	68.38
Arabidopsis	SRR10919008	68.36
Arabidopsis	SRR7624696	68.33
Arabidopsis	SRR7624719	68.33
Arabidopsis	SRR5831023	68.31
Arabidopsis	SRR10918553	68.26
Arabidopsis	SRR12687373	68.26
Arabidopsis	SRR9844295	68.19
Arabidopsis	SRR7851403	68.15
Arabidopsis	SRR10918585	68.13
Arabidopsis	SRR9936820	68.13
Arabidopsis	ERR1588894	68.06
Arabidopsis	SRR10918549	68.02
Arabidopsis	SRR10919014	68.01
Arabidopsis	ERR1588839	67.98
Arabidopsis	SRR7624697	67.88
Arabidopsis	SRR7637060	67.84
Arabidopsis	SRR20440087	67.84
Arabidopsis	SRR13861747	67.83
Arabidopsis	SRR7624695	67.82
Arabidopsis	SRR7645269	67.82
Arabidopsis	SRR7624716	67.80
Arabidopsis	ERR1588970	67.78
Arabidopsis	SRR7645260	67.77
Arabidopsis	SRR10918548	67.73
Arabidopsis	SRR7637059	67.72
Arabidopsis	SRR7851416	67.61
Arabidopsis	SRR5831048	67.59
Arabidopsis	SRR7645266	67.53
Arabidopsis	SRR7624701	67.52
Arabidopsis	SRR7637067	67.51
Arabidopsis	SRR7645257	67.50
Arabidopsis	SRR7637055	67.40
Arabidopsis	SRR7624707	67.39
Arabidopsis	SRR7637064	67.38
Arabidopsis	SRR5831033	67.37
Arabidopsis	SRR7645271	67.34
Arabidopsis	SRR7645276	67.32
Arabidopsis	SRR7645277	67.29
Arabidopsis	SRR7637063	67.16
Arabidopsis	ERR754089	67.15
Arabidopsis	SRR10919010	67.14
Arabidopsis	ERR1588920	67.12
Arabidopsis	SRR17055259	67.10
Arabidopsis	SRR10919009	67.02
Arabidopsis	SRR7624717	66.99
Arabidopsis	ERR754071	66.99
Arabidopsis	SRR7645274	66.99
Arabidopsis	SRR20440082	66.99
Arabidopsis	ERR754056	66.94
Arabidopsis	SRR10919012	66.92
Arabidopsis	SRR10918587	66.87
Arabidopsis	SRR7851402	66.79
Arabidopsis	SRR7645275	66.79
Arabidopsis	SRR17055258	66.79
Arabidopsis	SRR10918583	66.78
Arabidopsis	ERR1588990	66.73
Arabidopsis	SRR2989699	66.67
Arabidopsis	SRR7816602	66.65
Arabidopsis	SRR10918551	66.64
Arabidopsis	SRR7637052	66.62
Arabidopsis	ERR1588989	66.55
Arabidopsis	ERR754090	66.54
Arabidopsis	SRR15931250	66.52
Arabidopsis	SRR7637056	66.50
Arabidopsis	SRR7637046	66.44
Arabidopsis	SRR7645272	66.42
Arabidopsis	SRR10918580	66.42
Arabidopsis	SRR20440080	66.34
Arabidopsis	SRR20440085	66.32
Arabidopsis	ERR1588910	66.26
Arabidopsis	SRR5831021	66.26
Arabidopsis	SRR7624710	66.23
Arabidopsis	SRR7645264	66.22
Arabidopsis	SRR7816603	66.20
Arabidopsis	ERR1588911	66.20
Arabidopsis	ERR1588823	66.19
Arabidopsis	SRR10918547	66.19
Arabidopsis	SRR10918581	66.17
Arabidopsis	ERR1588985	66.16
Arabidopsis	SRR7645270	66.06
Arabidopsis	SRR7645265	66.02
Arabidopsis	SRR10918578	65.91
